id,name,birthdate,deathdate
4472,Kenneth Johnson,,
4473,Kenneth Lonergan,10/16/62,
4474,Kenneth Mars,4/4/35,2/12/11
4475,Kenneth Mitchell,,
4476,Kenneth Nkosi,,
4477,Kenneth Tobey,3/23/17,12/22/02
4478,Kenneth Williams,11/22/66,
4479,Kenny Baker,7/30/69,
4480,Kenny Johnston,8/7/68,
4481,Kenny Ortega,4/18/50,
4482,Kent Alterman,,
4483,Kent McCord,9/26/42,
4484,Keram Malicki-Sánchez,5/14/74,
4485,Keri Lynn Pratt,9/23/78,
4486,Keri Maletto,12/26/77,
4487,Kerr Smith,3/9/72,
4488,Kerry Bishé,,
4489,Kerry Cahill,,
4490,Kerry Condon,1/4/83,
4491,Kerry Conran,11/6/64,
4492,Keshia Knight Pulliam,4/9/79,
4493,Kesun Loder,5/22/93,
4494,Kevin Alejandro,4/7/76,
4495,Kevin Allen,9/15/62,
4496,Kevin Bray,8/19/65,
4497,Kevin Breznahan,11/24/68,
4498,Kevin Brodie,5/31/52,
4499,Kevin Brown,,
4500,Kevin Carraway,,
4501,Kevin Chamberlin,11/25/63,
4502,Kevin Clash,9/17/60,
4503,Kevin Connolly,3/5/74,
4504,Kevin Corrigan,3/27/69,
4505,Kevin Costner,1/18/55,
4506,Kevin Dillon,8/19/65,
4507,Kevin Donovan,,
4508,Kevin Dunn,8/24/56,
4509,Kevin G. Schmidt,8/16/88,
4510,Kevin Gage,5/26/59,
4511,Kevin Greutert,3/31/65,
4512,Kevin Grevioux,9/9/62,
4513,Kevin Hamedani,12/25/82,
4514,Kevin Hooks,9/19/58,
4515,Kevin Howarth,,
4516,Kevin J. O'Connor,,
4517,Kevin Jordan,,
4518,Kevin Leslie,,
4519,Kevin Lima,,
4520,Kevin Macdonald,5/16/61,
4521,Kevin McCarthy,,
4522,Kevin McGowan,,
4523,Kevin McHale,6/14/88,
4524,Kevin McNally,4/27/56,
4525,Kevin Michael Richardson,10/25/64,
4526,Kevin Munroe,,
4527,Kevin Nash,7/9/59,
4528,Kevin Nealon,11/18/53,
4529,Kevin P. Farley,6/8/65,
4530,Kevin Peter Hall,5/9/55,4/10/91
4531,Kevin Pollak,10/30/57,
4532,Kevin Rahm,1/7/71,
4533,Kevin Rankin,4/18/76,
4534,Kevin Reynolds,1/17/52,
4535,Kevin Rodney Sullivan,8/3/58,
4536,Kevin Scott Richardson,10/3/71,
4537,Kevin Smith,8/2/70,
4538,Kevin Spacey,7/26/59,
4539,Kevin Sussman,12/4/70,
4540,Kevin Tancharoen,4/23/84,
4541,Kevin Tenney,10/16/55,
4542,Kevin Tighe,8/13/44,
4543,Kevin Williamson,3/14/65,
4544,Kevin Zegers,9/19/84,
4545,Kevork Malikyan,6/2/43,
4546,Khaira Arby,,
4547,Khalid Abdalla,12/30/80,
4548,Khalid Mohamed,,
4549,Khalil Sullins,,
4550,Khamani Griffin,8/1/98,
4551,Khandi Alexander,9/4/57,
4552,Khulan Chuluun,5/30/85,
4553,Khyentse Norbu,,
4554,Ki Hong Lee,,
4555,Kick Gurry,5/25/78,
4556,Kief Davidson,5/12/70,
4557,Kieran Culkin,9/30/82,
4558,Kiernan Shipka,11/10/99,
4559,Kiersey Clemons,12/17/93,
4560,Kieu Chinh,,
4561,Kim Chan,12/28/17,10/5/08
4562,Kim Darby,7/8/47,
4563,Kim De Angelo,,
4564,Kim Delaney,11/29/61,
4565,Kim Dickens,6/18/65,
4566,Kim Director,11/13/74,
4567,Kim Farrant,,
4568,Kim Hunter,6/15/47,
4569,Kim Ly,,
4570,Kim Nguyen,,
4571,Kim Shaw,,
4572,Kim Thomson,,
4573,Kim-Marie Woodhouse,,
4574,Kimberley Crossman,5/24/90,
4575,Kimberly Beck,1/9/56,
4576,Kimberly Elise,4/17/67,
4577,Kimberly J. Brown,,
4578,Kimberly Peirce,9/8/67,
4579,Kimberly Williams-Paisley,9/14/71,
4580,Kimble Rendall,,
4581,King Vidor,1894-02-08,11/1/82
4582,Kinka Usher,,
4583,Kiowa Gordon,3/25/90,
4584,Kip Pardue,9/23/75,
4585,Kira McLean,,
4586,Kiran Shah,9/28/56,
4587,Kirby Bliss Blanton,10/24/90,
4588,Kirby Heyborne,,
4589,Kirk Baltz,9/14/59,
4590,Kirk Cameron,10/12/70,
4591,Kirk De Micco,,
4592,Kirk Fox,8/26/69,
4593,Kirk Jones,10/31/64,
4594,Kirk Loudon,,
4595,Kirk Wong,,
4596,Kirpatrick Thomas,,
4597,Kirsten Collins,,
4598,Kirsten Day,,
4599,Kirsten Dunst,4/30/82,
4600,Kirsten Sheridan,7/14/76,
4601,Kirstie Alley,1/12/51,
4602,Kiyoshi Kurosawa,7/19/55,
4603,Kjell Nilsson,,
4604,Klaus Kinski,10/18/26,11/23/91
4605,Klaus Maria Brandauer,6/22/43,
4606,Klaus Menzel,,
4607,Kodi Smit-McPhee,6/13/96,
4608,Kôji Yakusho,1/1/56,
4609,Konstantin Khabenskiy,1/11/72,
4610,Konstantin Lavronenko,4/20/61,
4611,Kostja Ullmann,5/30/84,
4612,Kris Isacsson,,
4613,Kris Marshall,4/1/73,
4614,Kris Sommerville,,
4615,Krista Allen,4/5/71,
4616,Kristen Cloke,9/2/68,
4617,Kristen Connolly,7/12/80,
4618,Kristen Johnston,9/20/67,
4619,Kristen Quintrall,,
4620,Kristen Seavey,,
4621,Kristen Stewart,4/9/90,
4622,Kristi Clainos,7/12/74,
4623,Kristian Bruun,,
4624,Kristin Booth,8/28/74,
4625,Kristin Davis,2/23/65,
4626,Kristin Lehman,5/3/72,
4627,Kristin Rizzo,,
4628,Kristin Scott Thomas,5/24/60,
4629,Kristoffer Polaha,2/18/77,
4630,Kristy Swanson,12/19/69,
4631,Kriv Stenders,,
4632,Krysta Rodriguez,7/23/84,
4633,Kumar Gaurav,7/11/60,
4634,Kundan Shah,10/19/47,
4635,Kunihiko Yuyama,10/15/52,
4636,Kuno Becker,1/14/78,
4637,Kurt Angle,12/9/69,
4638,Kurt Fuller,9/16/53,
4639,Kurt Hale,,
4640,Kurt Loder,5/5/45,
4641,Kurt Voss,9/16/63,
4642,Kurt Wimmer,,
4643,Kurtwood Smith,7/3/43,
4644,Kwesi Ameyaw,8/24/75,
4645,Kwok-Kwan Chan,8/1/75,
4646,Kyla Pratt,9/16/86,
4647,Kyla Wise,,
4648,Kyle Balda,3/9/71,
4649,Kyle Gass,7/14/60,
4650,Kyle Hebert,6/14/69,
4651,Kyle Schmid,8/3/84,
4652,Kylie Bunbury,1/30/89,
4653,Kylie Minogue,5/28/68,
4654,Kyra Nichols,,
4655,Kyra Sedgwick,8/19/65,
4656,Kyung-gu Sol,5/1/68,
4657,L.Q. Jones,3/14/33,
4658,La'Princess Jackson,,
4659,Laila Haley,,
4660,Lainie Kazan,5/15/40,
4661,Laird John Hamilton,3/2/64,
4662,Lajos Koltai,4/2/46,
4663,Lalaine,6/3/87,
4664,Lambert Wilson,8/3/58,
4665,Lamman Rucker,10/6/71,
4666,Lana Wachowski,6/21/65,
4667,Lance Gross,7/8/81,
4668,Lance Hool,5/11/48,
4669,Lance Kawas,,
4670,Lance McDaniel,,
4671,Lance Mungia,,
4672,Lance Rivera,,
4673,Landon Liboiron,,
4674,Lane Smith,4/29/36,6/13/05
4675,Lara Flynn Boyle,3/24/70,
4676,Lara Jean Chorostecki,9/24/84,
4677,Lara Jill Miller,4/20/67,
4678,Lara Pulver,9/1/80,
4679,Laraine Day,10/13/20,11/10/07
4680,Larenz Tate,9/8/75,
4681,Lark Voorhies,3/25/74,
4682,Larry Bagby,3/7/74,
4683,Larry Blamire,,
4684,Larry Charles,12/1/56,
4685,Larry Clark,1/19/43,
4686,Larry David,7/2/47,
4687,Larry Drake,2/21/49,3/17/16
4688,Larry Fessenden,3/23/63,
4689,Larry Hankin,8/31/40,
4690,Larry Joe Campbell,11/29/70,
4691,Larry King,11/19/33,
4692,Larry Miller,10/15/53,
4693,Larry Mullen Jr.,10/31/61,
4694,Larry Poindexter,12/16/59,
4695,Larry the Cable Guy,2/17/63,
4696,Lars Mikkelsen,5/6/64,
4697,Lars Ulrich,12/26/63,
4698,Lars von Trier,4/30/56,
4699,Laslo Benedek,3/5/05,3/11/92
4700,Lasse Hallström,6/2/46,
4701,Lateef Crowder,11/23/77,
4702,Laura Breckenridge,8/22/83,
4703,Laura Brent,,
4704,Laura Flanders,12/5/61,
4705,Laura Fraser,7/24/76,
4706,Laura Harring,3/3/64,
4707,Laura Harris,,
4708,Laura Morante,8/21/56,
4709,Laura Ramsey,11/14/82,
4710,Laura San Giacomo,11/14/62,
4711,Laura Spencer,6/19/69,
4712,Laura-Leigh,,
4713,Laurel Holloman,5/23/71,
4714,Lauren Ambrose,2/20/78,
4715,Lauren C. Mayhew,11/27/85,
4716,Lauren Cohan,1/7/82,
4717,Lauren German,11/29/78,
4718,Lauren Gottlieb,,
4719,Lauren Holly,10/28/63,
4720,Lauren Lazin,,
4721,Lauren Lee Smith,6/19/80,
4722,Lauren London,12/5/84,
4723,Lauren Sweetser,2/11/88,
4724,Laurence Dunmore,,
4725,Laurence Fox,5/26/78,
4726,Laurence Olivier,5/22/07,7/11/89
4727,Laurent Bouhnik,4/7/61,
4728,Laurent Cantet,6/15/61,
4729,Laurent Poitrenaux,,
4730,Laurent Tirard,,
4731,Laurie Collyer,,
4732,Laurie Metcalf,6/16/55,
4733,Lauryn Hill,5/26/75,
4734,Lawrence Gilliard Jr.,9/22/71,
4735,Lawrence Guterman,,
4736,Lawrence Kasanoff,6/1/59,
4737,Lawrence Kasdan,1/14/49,
4738,Laz Alonso,3/25/74,
4739,Léa Drucker,1/23/72,
4740,Lea Michele,8/29/86,
4741,Léa Pool,,
4742,Lea Thompson,5/31/61,
4743,Leah Remini,6/15/70,
4744,Lee Arenberg,7/18/62,
4745,Lee Armstrong,,
4746,Lee Daniels,12/24/59,
4747,Lee Evans,2/25/64,
4748,Lee Ingleby,1/28/76,
4749,Lee J. Cobb,12/8/11,2/11/76
4750,Lee Majors,4/23/39,
4751,Lee Marvin,2/19/24,8/29/87
4752,Lee Norris,4/19/82,
4753,Lee Remick,12/14/35,7/2/91
4754,Lee Scott,,
4755,Lee Tamahori,4/22/50,
4756,Lee Tergesen,7/8/65,
4757,Lee Toland Krieger,,
4758,Lee Unkrich,8/8/67,
4759,Lee Ving,,
4760,Leehom Wang,5/17/76,
4761,Leigh Whannell,1/17/77,
4762,Leighton Meester,4/9/86,
4763,Leila Arcieri,12/18/73,
4764,Leila Hatami,10/1/72,
4765,Lela Rochon,4/17/64,
4766,Leland Orser,8/6/60,
4767,Leleti Khumalo,3/30/70,
4768,Lemmy,12/24/45,12/28/15
4769,Len Cariou,9/30/39,
4770,Len Wiseman,3/4/73,
4771,Lena Dunham,5/13/86,
4772,Lena Endre,7/8/55,
4773,Lena Horne,6/30/17,5/9/10
4774,Lena Olin,3/22/55,
4775,Lenny Abrahamson,11/30/66,
4776,Lenny Venito,,
4777,Lenore Zann,11/22/59,
4778,Leo Fitzpatrick,8/10/78,
4779,Leo G. Carroll,1886-10-25,10/16/72
4780,Leo Howard,,
4781,Leo McKern,3/16/20,7/23/02
4782,Leo Rossi,6/26/46,
4783,Leon,3/8/62,
4784,Leon Ford,,
4785,Leon Ichaso,8/3/48,
4786,Leon Isaac Kennedy,1/1/49,
4787,Leon Rippy,10/30/49,
4788,Léon Schwartzenberg,,
4789,Leonard Farlinger,,
4790,Leonard Nimoy,3/26/31,2/27/15
4791,Leonard Roberts,2/28/69,
4792,Leonardo DiCaprio,11/11/74,
4793,Leonid Yarmolnik,1/22/54,
4794,Leonie Benesch,4/22/91,
4795,Leonor Varela,12/29/72,
4796,Leonor Watling,7/28/75,
4797,Leopold Stokowski,1882-04-18,9/13/77
4798,Leos Carax,11/22/60,
4799,Les Mayfield,,
4800,Lesley Ann Warren,8/16/46,
4801,Lesley Manville,3/12/56,
4802,Lesley Sharp,4/3/60,
4803,Lesley-Anne Down,3/17/54,
4804,Leslie Bibb,11/17/74,
4805,Leslie Carlson,2/24/33,5/3/14
4806,Leslie Caron,7/1/31,
4807,Leslie H. Martinson,1/16/15,9/3/16
4808,Leslie Hope,5/6/65,
4809,Leslie Jordan,4/29/55,
4810,Leslie Small,,
4811,Leslye Headland,11/26/80,
4812,Lester Speight,1/7/63,
4813,Leticia Brédice,8/26/72,
4814,Levan Gabriadze,11/16/69,
4815,LeVar Burton,2/16/57,
4816,Leven Rambin,5/17/90,
4817,Levon Helm,5/26/40,4/19/12
4818,Lew Temple,10/2/67,
4819,Lewis Gilbert,6/6/34,10/31/11
4820,Lex Barker,,
4821,Lex Shrapnel,10/6/79,
4822,Lexa Doig,6/8/73,
4823,Lexi Alexander,8/23/74,
4824,Lexie Contursi,9/18/89,
4825,Lhakpa Dorji,,
4826,Li Gong,12/31/65,
4827,Li Jun Li,,
4828,Li Zhang,,
4829,Lia Tucker,,
4830,Liam Aiken,1/7/90,
4831,Liam James,9/21/50,
4832,Liam Neeson,6/7/52,
4833,Liane Balaban,6/24/80,
4834,Libby Villari,,
4835,Lijun Sun,,
4836,Lil' Wayne,9/27/82,
4837,Lila Kedrova,10/9/18,2/16/00
4838,Lili Taylor,2/20/67,
4839,Liliana Cavani,1/12/33,
4840,Lillete Dubey,5/13/54,
4841,Lilli Lavine,,
4842,Lillian Adams,5/13/22,5/25/11
4843,Lillian Gish,1893-10-14,2/27/93
4844,Lillo Brancato,3/30/76,
4845,Lily Atkinson,,
4846,Lily Cole,12/27/87,
4847,Lily James,4/5/89,
4848,Lily Rabe,6/29/82,
4849,Lily Tomlin,9/1/39,
4850,Lin Shaye,10/12/43,
4851,Lina Esco,5/14/85,
4852,Lincoln Hoppe,6/5/71,
4853,Linda Blair,1/22/59,
4854,Linda Cardellini,6/25/75,
4855,Linda Fiorentino,3/9/58,
4856,Linda Harrison,7/26/45,
4857,Linda Kozlowski,1/7/58,
4858,Linda Lovelace,1/10/49,4/22/02
4859,Linda Mendoza,,
4860,Linden Ashby,5/23/60,
4861,Lindsay Duncan,11/7/50,
4862,Lindsay Felton,12/4/84,
4863,Lindsay Kay Hayward,7/28/87,
4864,Lindsay MacDonald,9/22/97,
4865,Lindsay Price,12/6/76,
4866,Lindsay Sloane,8/8/77,
4867,Lindsay Wagner,6/22/49,
4868,Lindsey Haun,11/21/84,
4869,Lindy Booth,4/2/79,
4870,Linnea Quigley,5/27/58,
4871,Lino Facioli,7/29/00,
4872,Linus Roache,2/1/64,
4873,Lionel Abelanski,10/22/64,
4874,Lionel Barrymore,1878-04-28,11/15/54
4875,Lionel C. Martin,,
4876,Lior Ashkenazi,,
4877,Lisa Ann,5/9/72,
4878,Lisa Ann Walter,8/3/63,
4879,Lisa Arnold,,
4880,Lisa Azuelos,11/6/65,
4881,Lisa Bonet,11/16/67,
4882,Lisa Brave,,
4883,Lisa Cholodenko,6/5/64,
4884,Lisa Edelstein,5/21/66,
4885,Lisa Gaye,3/25/64,
4886,Lisa Kay,2/11/71,
4887,Lisa Ortiz,12/11/74,
4888,Lisa Pelikan,7/12/54,
4889,Lisa Ray,4/4/72,
4890,Lisa Wilcox,4/27/64,
4891,LisaGay Hamilton,3/25/64,
4892,Lisanne Pajot,,
4893,LisaRaye McCoy,9/23/66,
4894,Liv Ullmann,12/16/38,
4895,Livingston Oden,,
4896,Livvy Stubenrauch,,
4897,Liya Kebede,3/1/78,
4898,Liz Friedlander,,
4899,Liz Mullane,,
4900,Liza Lapira,,
4901,Liza Minnelli,3/12/46,
4902,Lizzie Brocheré,3/22/85,
4903,Ljubomir Kerekes,1/16/60,
4904,LL Cool J,1/14/68,
4905,Lloyd Avery II,6/21/69,9/4/05
4906,Lloyd Bacon,1889-12-04,11/15/55
4907,Lloyd Bridges,1/15/13,3/10/98
4908,Lloyd Kaufman,12/30/45,
4909,Lluís Quílez,12/8/78,
4910,Loanne Bishop,11/10/55,
4911,Lobo Sebastian,,
4912,Lochlyn Munro,2/12/66,
4913,Logan Browning,6/9/89,
4914,Logan Lerman,1/19/92,
4915,Lois Chiles,4/15/47,
4916,Lois Maxwell,2/14/27,9/29/07
4917,Lois Smith,11/3/30,
4918,Lola Dueñas,10/6/71,
4919,Lola Glaudini,11/24/71,
4920,Lolita Davidovich,7/15/61,
4921,Lon Chaney Jr.,2/10/06,7/12/73
4922,Lone Scherfig,5/2/59,
4923,Long Nguyen,,
4924,Lorelei Linklater,5/29/94,
4925,Lorene Scafaria,,
4926,Loretta Devine,8/21/49,
4927,Lori Petty,10/14/63,
4928,Lori Silverbush,,
4929,Lori Singer,11/6/57,
4930,Lorna Raver,10/9/43,
4931,Lorne Cardinal,,
4932,Lorraine Bracco,10/2/54,
4933,Lorraine Stanley,6/28/76,
4934,Lorraine Toussaint,4/4/60,
4935,Lorraine Ziff,,
4936,Lotte Verbeek,6/24/82,
4937,Lou Adler,12/13/33,
4938,Lou Perryman,8/15/41,4/1/09
4939,Lou Romano,4/15/72,
4940,Lou Saliba,,
4941,Lou Taylor Pucci,7/27/85,
4942,Louis C.K.,9/12/67,
4943,Louis Ferreira,2/20/66,
4944,Louis Herthum,7/5/56,
4945,Louis Jourdan,6/19/21,2/14/15
4946,Louis Koo,10/21/70,
4947,Louis Leterrier,6/17/73,
4948,Louis Lombardi,,
4949,Louis Mandylor,9/13/66,
4950,Louis Morneau,,
4951,Louis Mustillo,5/28/58,
4952,Louis Ozawa Changchien,,
4953,Louis Walsh,8/5/52,
4954,Louisa Milwood-Haigh,,
4955,Louise Beavers,3/8/02,10/26/62
4956,Louise Bourgoin,11/28/81,
4957,Louise Brealey,3/27/79,
4958,Louise Brooks,10/23/46,9/2/12
4959,Louise Fletcher,7/22/34,
4960,Louise Lasser,4/11/39,
4961,Louise Sorel,8/6/40,
4962,Lowell Sherman,1888-10-11,12/28/34
4963,Lubna Azabal,,
4964,Luc Besson,3/18/59,
4965,Luc Jacquet,12/5/67,
4966,Luca Guadagnino,,
4967,Lucas Bryant,9/28/78,
4968,Lucas Grabeel,11/23/84,
4969,Lucile Hadzihalilovic,5/7/61,
4970,Lucille Ball,8/6/11,4/26/89
4971,Lucille La Verne,1872-11-07,3/4/45
4972,Lucio Fulci,6/17/27,3/13/96
4973,Lucky McKee,11/1/75,
4974,Lucrecia Martel,12/14/66,
4975,Lucy,8/6/11,4/26/89
4976,Lucy Boynton,,
4977,Lucy Fry,,
4978,Lucy Gaskell,7/10/80,
4979,Lucy Gordon,5/22/80,5/20/09
4980,Ludger Pistor,3/16/59,
4981,Ludivine Sagnier,7/3/79,
4982,Luenell,3/12/59,
4983,Luigi Pistilli,7/19/29,4/21/96
4984,Luis Antonio,2/25/61,
4985,Luis E. Carazo,,
4986,Luis Llosa,,
4987,Luis Mandoki,,
4988,Luis Miranda,12/15/69,
4989,Luis Rosado,,
4990,Luis Sanchez,2/2/34,
4991,Luis Tosar,10/13/71,
4992,Luis Valdez,6/26/40,
4993,Luisa D'Oliveira,10/6/86,
4994,Luisa Ranieri,12/16/73,
4995,Lukas Haas,4/16/76,
4996,Lukas Moodysson,1/17/69,
4997,Luke Benward,5/12/95,
4998,Luke Bracey,,
4999,Luke Dye,,
5000,Luke Edwards,3/24/80,
5001,Luke Ford,3/26/81,
5002,Luke Greenfield,2/5/72,
5003,Luke Grimes,1/21/84,
5004,Luke Kirby,6/21/78,
5005,Luke Mably,3/1/76,
5006,Luke Newberry,2/19/90,
5007,Luke Perry,10/11/66,
5008,Luke Treadaway,9/10/84,
5009,Lumi Cavazos,12/21/68,
5010,Lunetta Savino,11/2/57,
5011,Lupe Ontiveros,9/17/42,7/26/12
5012,Lusia Strus,,
5013,Lydia Hearst,9/19/84,
5014,Lydia Wilson,,
5015,Lymari Nadal,2/11/78,
5016,Lynda Boyd,1/28/65,
5017,Lynn Cohen,8/10/33,
5018,Lynn Hung,4/10/83,
5019,Lynn Redgrave,3/8/43,5/2/10
5020,Lynn Shelton,,
5021,Lynn Whitfield,5/6/53,
5022,Lynne Ramsay,12/5/69,
5023,Lynne Thigpen,12/22/48,3/12/03
5024,Lysette Anthony,9/26/63,
5025,Lyubov Agapova,,
5026,M. Emmet Walsh,3/22/35,
5027,M. Night Shyamalan,8/6/70,
5028,M.C. Gainey,1/18/48,
5029,Mabel Cheung,11/17/50,
5030,Mabrouk El Mechri,,
5031,Mac McDonald,6/18/49,
5032,Macaulay Culkin,8/26/80,
5033,Macha Méril,,
5034,Mackenzie Aladjem,,
5035,Mackenzie Crook,9/29/71,
5036,Mackenzie Davis,4/1/87,
5037,Mackenzie Foy,11/10/00,
5038,Mackenzie Gray,11/22/57,
5039,Mackenzie Phillips,11/10/59,
5040,Madeleine Albright,5/15/37,
5041,Madeline Carroll,3/18/96,
5042,Madeline Kahn,9/29/42,12/3/99
5043,Madhavan,6/1/70,
5044,Madhuri Dixit,5/15/67,
5045,Madison Davenport,11/22/96,
5046,Madison Lintz,,
5047,Madison McKinley,,
5048,Madison Pettis,7/22/98,
5049,Madison Rothschild,,
5050,Mae Marsh,1894-11-09,2/13/68
5051,Mae West,1893-08-17,11/22/80
5052,Maeve Dermody,11/2/85,
5053,Magda Apanowicz,11/8/85,
5054,Magda Szubanski,4/12/61,
5055,Maggie Carey,,
5056,Maggie Cheung,9/20/64,
5057,Maggie Greenwald,6/23/55,
5058,Maggie Siff,6/21/74,
5059,Maggie Wheeler,8/7/61,
5060,Magi Avila,,
5061,Mahadeo Shivraj,,
5062,Mai Charoenpura,1/5/69,
5063,Maia Morgenstern,5/1/62,
5064,Maika Monroe,5/29/93,
5065,Maile Flanagan,5/19/65,
5066,Maïwenn,4/17/76,
5067,Majid Majidi,,
5068,Mako,10/25/36,
5069,Maksim Fadeev,5/6/68,
5070,Malcolm D. Lee,1/11/70,
5071,Malcolm Goodwin,,
5072,Malese Jow,2/18/91,
5073,Malik Yoba,9/17/67,
5074,Malika,,
5075,Malone Thomas,,
5076,Malonn Lévana,,
5077,Mamoru Hosoda,9/19/67,
5078,Man Li,1/14/53,
5079,Mandy Gonzalez,,
5080,Mani Bharathi,,
5081,Manish Dayal,6/17/83,
5082,Manny Perez,5/5/69,
5083,Manoj Bajpayee,4/23/69,
5084,Måns Mårlind,7/29/69,
5085,Manuela Velasco,10/23/75,
5086,Mara Wilson,,
5087,Marama Corlett,,
5088,Marc Abraham,,
5089,Marc Anthony,11/3/75,
5090,Marc Bennett,,
5091,Marc Blucas,1/11/72,
5092,Marc Donato,1/25/89,
5093,Marc F. Adler,,
5094,Marc Forby,6/2/70,
5095,Marc Forster,11/30/69,
5096,Marc John Jefferies,5/16/90,
5097,Marc Lawrence,7/19/17,8/28/01
5098,Marc Levin,,
5099,Marc Macaulay,10/13/57,
5100,Marc Schölermann,10/14/71,
5101,Marc Singer,,
5102,Marc Trottier,5/22/76,
5103,Marc Webb,8/31/74,
5104,Marcel Iures,8/2/51,
5105,Marcela Mar,7/5/83,
5106,Marcell Nagy,,
5107,Marcella Lentz-Pope,,
5108,Marcello Mastroianni,9/28/24,12/19/96
5109,Marcia DeBonis,6/4/60,
5110,Marcia Wallace,11/1/42,10/25/13
5111,Marcio Garcia,4/17/70,
5112,Marco Hofschneider,10/18/69,
5113,Marco Kreuzpaintner,3/11/77,
5114,Marco Schnabel,,
5115,Marco St. John,5/7/39,
5116,Marco Treviño,,
5117,Marcos Siega,6/8/69,
5118,Marcus Chong,7/8/67,
5119,Marcus Dunstan,,
5120,Marcus Lyle Brown,12/26/70,
5121,Marcus Nispel,5/26/63,
5122,Marcus Raboy,11/30/65,
5123,Mare Winningham,5/16/59,
5124,Marg Helgenberger,11/16/58,
5125,Margaret Cho,12/5/68,
5126,Margaret Hamilton,12/9/02,5/16/85
5127,Margaret Tracey,,
5128,Margarita Levieva,2/9/80,
5129,Margo Harshman,3/4/86,
5130,Margot Kidder,10/17/48,
5131,Mari Koda,8/3/86,
5132,María Alche,4/23/83,
5133,María Aura,,
5134,María Botto,2/10/74,
5135,Maria Canals-Barrera,9/28/66,
5136,Maria Conchita Alonso,6/29/57,
5137,Maria Dizzia,12/29/74,
5138,Maria Doyle Kennedy,9/25/64,
5139,Maria Grazia Cucinotta,7/27/68,
5140,Maria Maggenti,,
5141,Maria Schrader,9/27/65,
5142,Maria Thayer,10/30/75,
5143,María Valverde,3/24/87,
5144,Mariah Carey,3/27/70,
5145,Marian Dziedziel,8/5/47,
5146,Marian Marsh,10/17/13,11/9/06
5147,Marian Seldes,8/23/28,10/6/14
5148,Marianna Palka,9/7/81,
5149,Marianne Denicourt,5/14/66,
5150,Maribel Verdú,10/2/70,
5151,Maricel Álvarez,,
5152,Marie Avgeropoulos,6/17/86,
5153,Marie Féret,5/26/45,4/28/15
5154,Marie Gillain,6/18/75,
5155,Marie Pillet,7/20/41,2/13/09
5156,Marie-Anne Chazel,9/19/51,
5157,Marie-Josée Croze,2/23/70,
5158,Mariel Hemingway,11/22/61,
5159,Marielle Heller,10/1/79,
5160,Mariette Monpierre,,
5161,Marilyn Agrelo,,
5162,Marilyn Burns,5/7/49,8/5/14
5163,Marilyn Manson,1/5/69,
5164,Marilyn Norry,,
5165,Marilyn Rising,,
5166,Marin Hinkle,3/23/66,
5167,Marina Golbahari,,
5168,Marina Hands,1/10/75,
5169,Marina Sirtis,3/29/55,
5170,Marina Vlady,5/10/38,
5171,Mario Cimarro,6/1/71,
5172,Mario Lopez,10/10/73,
5173,Mario Monicelli,5/15/15,11/29/10
5174,Mario Van Peebles,1/15/57,
5175,Marion Ross,10/25/28,
5176,Marisa Coughlan,3/17/74,
5177,Marisa Saks,5/23/82,
5178,Marisol Nichols,11/2/73,
5179,Marius A. Markevicius,9/3/76,
5180,Mark A.Z. Dippé,,
5181,Mark Addy,1/14/64,
5182,Mark Andrews,9/12/68,
5183,Mark Bazeley,9/30/70,
5184,Mark Brown,,
5185,Mark Camacho,4/12/64,
5186,Mark Caven,4/23/60,
5187,Mark Chinnery,,
5188,Mark Christopher,7/8/63,
5189,Mark Christopher Lawrence,5/22/64,
5190,Mark De Alessandro,,
5191,Mark Dindal,,
5192,Mark Duplass,12/7/76,
5193,Mark Fantasia,,
5194,Mark Feuerstein,6/8/71,
5195,Mark Gatiss,10/17/66,
5196,Mark Helfrich,,
5197,Mark Hengst,3/7/64,
5198,Mark Herman,,
5199,Mark Illsley,6/4/58,
5200,Mark L. Lester,11/26/46,
5201,Mark L. Young,,
5202,Mark Margolis,11/26/39,
5203,Mark Moses,2/24/58,
5204,Mark Mylod,,
5205,Mark Neveldine,5/11/73,
5206,Mark Osborne,9/17/70,
5207,Mark Pellington,3/17/62,
5208,Mark Piznarski,,
5209,Mark Rendall,10/21/88,
5210,Mark Rolston,12/7/56,
5211,Mark Romanek,9/18/59,
5212,Mark Rosman,,
5213,Mark Rydell,3/23/29,
5214,Mark Rylance,1/18/60,
5215,Mark Sandrich,10/26/01,3/4/45
5216,Mark Steven Johnson,10/30/64,
5217,Mark Tarlov,,
5218,Mark Tonderai,,
5219,Mark Torgl,,
5220,Mark Valley,12/24/64,
5221,Mark Walters,2/22/50,
5222,Mark Waters,1/18/60,
5223,Mark Webber,7/19/80,
5224,Mark Williams,,
5225,Mark Wingett,1/1/61,
5226,Mark Young,,
5227,Mark Zupan,5/20/75,
5228,Markéta Irglová,2/28/88,
5229,Marko Zaror,6/10/78,
5230,Marla Gibbs,6/14/31,
5231,Marla Sokoloff,12/19/80,
5232,Marlee Matlin,8/24/65,
5233,Marlene Forte,,
5234,Marley Shelton,4/12/74,
5235,Marlon Brando,4/3/24,7/1/04
5236,Marques Houston,8/4/81,
5237,Marri Savinar,,
5238,Mars Callahan,,
5239,Marsha Thomason,1/19/76,
5240,Marshal Hilton,,
5241,Marshall Allman,4/5/84,
5242,Marshall Bell,9/28/42,
